Type	Name	DRINK_ID	Premium	Description	Bar	Unique
Cocktail	Peanut Butter Tropic	pjGbMp1lWy	FALSE	Skrewball Peanut Butter whiskey, pineapple juice, bitters and lemon juice	Schooner Bar	FALSE
White Wine	Penfolds Chardonnay “Koonunga Hill”	4vWGai4cb4	FALSE	South Australia	Schooner Bar	FALSE
White Wine	Penfolds Chardonnay “Koonunga Hill”	4vWGai4cb4	FALSE	South Australia	The Overlook Bar	FALSE
White Wine	Penfolds Chardonnay “Koonunga Hill”	4vWGai4cb4	FALSE	South Australia	Trellis Bar	FALSE
White Wine	Penfolds Chardonnay “Koonunga Hill”	4vWGai4cb4	FALSE	South Australia	Dueling Pianos	FALSE
White Wine	Penfolds Chardonnay “Koonunga Hill”	4vWGai4cb4	FALSE	South Australia	Music Hall	FALSE
White Wine	Penfolds Chardonnay “Koonunga Hill”	4vWGai4cb4	FALSE	South Australia	Aquadome Market Bar	FALSE
Apéritif	Pernod	yalw8NgDuX	FALSE	—	Aquadome Market Bar	FALSE
Apéritif	Pernod	yalw8NgDuX	FALSE	—	The Overlook Bar	FALSE
Apéritif	Pernod	yalw8NgDuX	FALSE	—	Trellis Bar	FALSE
Beer	Peroni Nastro Azzurro	RpFpULQqX8	FALSE	European pale lager 5.1% ABV	Playmakers Sports Bar	TRUE
Beer	Pilsner Urquell	9aMYd2W4JE	FALSE	Czech Republic, pilsner	Point and Feather Pub	TRUE
Apéritif	Pimm’s	nOqoHoWFf0	FALSE	—	Aquadome Market Bar	FALSE
Apéritif	Pimm’s	nOqoHoWFf0	FALSE	—	The Overlook Bar	FALSE
Apéritif	Pimm’s	nOqoHoWFf0	FALSE	—	Trellis Bar	FALSE
Cocktail	Pimm’s Cup	AFpZEYXBm4	FALSE	Pimm’s No.1 liqueur, lemon juice and ginger ale	Point and Feather Pub	TRUE
Soft Mixer	Pineapple Agua Fresca	TSA7rTMn4l	FALSE	—	Cantina Fresca	TRUE
Cocktail	Pineapple Guava Sangria	AYZvCrly2W	FALSE	Danzante Pinot Grigio, guava and passion fruit syrups, pineapple juice and lime juice	Aquadome Market Bar	FALSE
Cocktail	Pineapple Guava Sangria	AYZvCrly2W	FALSE	Danzante Pinot Grigio, guava and passion fruit syrups, pineapple juice and lime juice	Playmakers Sports Bar	FALSE
Cocktail	Pineapple Guava Sangria	AYZvCrly2W	FALSE	Danzante Pinot Grigio, guava and passion fruit syrups, pineapple juice and lime juice	The Lime and Coconut Bars	FALSE
Cocktail	Pineapple Guava Sangria	AYZvCrly2W	FALSE	Danzante Pinot Grigio, guava and passion fruit syrups, pineapple juice and lime juice	The Overlook Bar	FALSE
Cocktail	Pineapple Guava Sangria	AYZvCrly2W	FALSE	Danzante Pinot Grigio, guava and passion fruit syrups, pineapple juice and lime juice	Trellis Bar	FALSE
Cocktail	Pineapple Jalapeño Margarita	YkcT5Gsg46	FALSE	Jose Cuervo Gold tequila, sour mix, pineapple juice and muddled jalapeños and pineapple	Cantina Fresca	TRUE
Soft Mixer	Pineapple Juice	fVIVjw5jQP	FALSE	—	Aquadome Market Bar	FALSE
Soft Mixer	Pineapple Juice	fVIVjw5jQP	FALSE	—	The Overlook Bar	FALSE
Soft Mixer	Pineapple Juice	fVIVjw5jQP	FALSE	—	Trellis Bar	FALSE
Zero Proof	Pink Mermaid	N85YC8JTgY	FALSE	Dragon fruit syrup, Lifesaver gummies and house-made lemonade	The Lemon Post Bar	TRUE
Zero Proof	Pink Mermaid Cherry Lifesaver	MiIymZtkh8	FALSE	Cherry syrup, cherries and house-made lemonade	The Lemon Post Bar	TRUE
Cocktail	Pink Pony	UehzOnrhVY	FALSE	Absolut Citron vodka, St-Germain Elderflower liqueur, Aperol, grapefruit juice and lemon sour	1400 Lobby Bar	TRUE
White Wine	Pinot Grigio	edAO9rOChP	FALSE	Danzante, Delle Venezie, Italy	Cantina Fresca	FALSE
White Wine	Pinot Grigio	edAO9rOChP	FALSE	Danzante, Delle Venezie, Italy	Playmakers Sports Bar	FALSE
White Wine	Pinot Grigio	edAO9rOChP	FALSE	Danzante, Delle Venezie, Italy	The Lime and Coconut Bars	FALSE
Red Wine	Pinot Noir	4rnPAn2prt	FALSE	Estancia, Monterey County, California, USA	Playmakers Sports Bar	TRUE
Cocktail	Pirate in a Coconut Tree	MzcmKdyH4c	FALSE	Hard Truth Toasted Coconut rum, Captain Morgan Original Spiced rum, coconut water, lemon, blueberries and elderflower tonic	Point and Feather Pub	FALSE
Cocktail	Pirate in a Coconut Tree	MzcmKdyH4c	FALSE	Hard Truth Toasted Coconut rum, Captain Morgan Original Spiced rum, coconut water, lemon, blueberries and elderflower tonic	Swim n Tonic	FALSE
Cocktail	Planter’s Punch	vIakhWpByV	FALSE	Myers’s Original Dark rum, pineapple juice, orange juice, lime juice and grenadine	Aquadome Market Bar	FALSE
Cocktail	Planter’s Punch	vIakhWpByV	FALSE	Myers’s Original Dark rum, pineapple juice, orange juice, lime juice and grenadine	The Lime and Coconut Bars	FALSE
Cocktail	Planter’s Punch	vIakhWpByV	FALSE	Myers’s Original Dark rum, pineapple juice, orange juice, lime juice and grenadine	The Overlook Bar	FALSE
Cocktail	Planter’s Punch	vIakhWpByV	FALSE	Myers’s Original Dark rum, pineapple juice, orange juice, lime juice and grenadine	Trellis Bar	FALSE
Cocktail	Playmakers Bloody Mary	okLsXE6RsW	FALSE	Tito’s Handmade vodka, Bloody Mary mix, limes, olives and fresh celery	Playmakers Sports Bar	TRUE
